name,BDE_min_kJmol,BDE_mean_kJmol,BDE_bond_type_of_min,BDE_weak_bond_count,BDE_source,spin_tax_correction_kJmol,oxygen_radical_flag,ZPE_scaling_factor,radical_stability_score,BDE_min_bond_length_A
HNCO+,458.56,458.56,N-H,0,literature,0.0,False,1.0,2.0,
HNCS,460.24,460.24,N-H,0,literature,0.0,False,1.0,2.0,
HNCS+,534.2913495200422,534.2913495200422,N-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.024767589214417
HOCN,460.24,460.24,O-H,0,literature,0.0,True,1.0,0.0,
HOCN+,569.0285463366463,569.0285463366463,O-H,0,xtb_corrected,-15.4,True,1.0,0.0,0.9727472635700498
HOCS+,460.24,460.24,O-H,0,literature,0.0,True,1.0,0.0,
HONC,460.24,460.24,O-H,0,literature,0.0,True,1.0,1.0,
HONC+,460.24,460.24,O-H,0,literature,0.0,True,1.0,1.0,
HSO2+,460.24,460.24,O-H,0,literature,0.0,True,1.0,3.0,
l-C3H2,382.8356,382.8356,C-H,0,literature,0.0,False,1.0,0.0,
l-C3H2+,411.7092443420782,411.7092443420782,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0822728385406295
H2CCS,411.8489084735825,411.8489084735825,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0828852986495783
H2CSH+,397.48,397.48,C-H,0,literature,0.0,False,1.0,1.0,
H2COH+,436.0,461.44317655401136,C-H,0,literature,0.0,True,1.0,1.0,
HCCNC,484.7,484.7,C-H,0,literature,0.0,False,1.0,2.0,
HC3N,518.0,518.0,C-H,0,literature,0.0,False,1.0,2.0,
HC3O,404.5928,404.5928,C-H,0,literature,0.0,False,1.0,2.0,
HC3O+,684.2849205213837,684.2849205213837,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0646922908438368
HC3S+,655.8380304081444,655.8380304081444,C-H,0,xtb_corrected,-15.4,False,1.0,2.0,1.0625980782598234
HCNCC,455.02866898443295,455.02866898443295,C-H,0,xtb_corrected,-15.4,False,1.0,3.0,1.0656138212474726
HCOCN,400.75295295336804,400.75295295336804,C-H,0,xtb_corrected,-15.4,True,1.0,4.0,1.1008331258936033
HNCCC,631.79,631.79,N-H,0,literature,0.0,False,1.0,2.0,
HOCHN,465.8988417257146,486.88166568982666,O-H,0,xtb_corrected,-15.4,True,1.0,0.0,0.9674157048909885
H2C3O+,280.1795702172141,280.1795712739762,C-H,2,xtb_corrected,-15.4,False,1.0,2.0,1.0844650995912517
l-C3H3+,516.0078316848095,568.0043470797197,C-H,0,xtb_corrected,-15.4,False,1.0,0.0,1.082947906273052
